base_high,base_low,base_range_pct,blocked_sell_days,breakout_pct,close,code,date,hold_days,pnl_pct,rel20_pct,ret20_pct,ret60_pct,score,status,volume_ratio
12.83,11.65,10.128755364806864,,9.11925175370226,14.0,603587,2024-12-13,,,14.4970147235272,18.243243243243246,34.099616858237546,114.5875938174067,gap_up_skip,4.567433167917599
8.08,7.22,11.911357340720226,0,3.960396039603964,8.4,000156,2024-12-13,2,-6.093189964157694,9.156997286735557,12.903225806451601,35.92233009708738,91.75721985690356,breakout_failed,3.3797762726284994
10.13,8.95,13.184357541899457,0,7.601184600197429,10.9,603390,2024-12-13,2,-8.000000000000004,13.08120985113068,16.827438370846725,40.283140283140305,91.39676821738033,stop_hit,2.227462664149658
12.22,10.75,13.67441860465117,0,3.5188216039279845,12.65,600749,2024-12-13,2,-6.220472440944875,9.09944498608235,12.845673505798395,23.414634146341463,80.74962517891674,breakout_failed,3.4681595836972723
18.88,16.77,12.581991651759092,0,3.283898305084751,19.5,001234,2024-12-13,2,-6.08650608650609,7.3016074711723435,11.047835990888387,33.56164383561644,77.24608121874941,breakout_failed,4.1304787829085665
92.98,81.9,13.528693528693525,0,3.9578403957840314,96.66,603986,2024-12-16,5,12.076694944478932,6.72655067004142,11.797362942401124,44.700598802395206,94.99435178274301,max_hold,2.912571638338025
7.38,6.65,10.977443609022549,0,5.013550135501356,7.75,603889,2024-12-16,3,-7.999999999999995,9.74400254245511,14.814814814814813,20.528771384136867,90.4231562839856,stop_hit,5.277451042711872
4.34,3.81,13.910761154855638,,6.91244239631336,4.64,600982,2024-12-16,,,14.516816593619676,19.58762886597938,41.896024464831804,88.69986499668906,gap_up_skip,2.319455756690324
7.23,6.35,13.858267716535448,0,5.39419087136929,7.62,002617,2024-12-16,5,23.947368421052637,10.734658852260349,15.805471124620052,43.77358490566039,87.70978007726897,max_hold,1.8667701675420496
7.33,6.52,12.423312883435592,0,3.1377899045020397,7.56,000919,2024-12-16,2,-6.605739939073269,9.82280474891688,14.893617021276583,29.010238907849818,84.83119042357664,breakout_failed,5.3913783934309025
3.53,3.27,7.95107033639143,0,9.065155807365448,3.85,601619,2025-03-19,5,-0.2597402597402657,11.2243231527837,15.615615615615619,13.235294117647056,123.57567000780125,max_hold,5.625989044212832
5.3,4.84,9.504132231404958,,9.056603773584913,5.78,002204,2025-03-19,,,12.140965601684204,16.532258064516125,10.940499040307117,118.74683193010452,limit_up_buy_blocked,3.2461017036658193
27.5,24.29,13.215314944421577,,9.963636363636358,30.24,002980,2025-03-19,,,14.476632065469964,18.867924528301884,7.310149041873659,117.80217871739657,weak_open_skip,4.213076393406089
43.28,38.51,12.386393144637765,0,6.146025878003688,45.94,688390,2025-03-19,5,3.8904499940634136,6.978404506865044,11.369696969696964,0.28378083387905484,104.86510790971985,max_hold,2.828658637595392
4.07,3.6,13.055555555555562,0,4.914004914004896,4.27,000571,2025-03-19,5,9.176470588235286,10.085919333414715,14.477211796246635,14.784946236559126,87.38169974847382,max_hold,4.359481408489655
19.66,17.7,11.073446327683621,0,8.596134282807737,21.35,000581,2025-02-24,5,-1.7812788304591585,8.61819137225206,19.27374301675979,15.90662323561347,126.5033593691628,max_hold,5.015276735790456
51.29,45.11,13.699844823764131,0,5.283681029440439,54.0,301035,2025-02-24,4,-4.115226337448565,5.523450076662662,16.179001721170394,6.466876971608837,67.18436756898141,breakout_failed,1.634490852578779
6.36,5.58,13.978494623655918,0,7.075471698113196,6.81,000833,2024-11-07,5,50.87385908842245,5.388241153882676,18.641114982578387,37.02213279678068,79.70227013188355,max_hold,1.6373337433471644
