window,regime_name,regimes_csv,min_regime_score,entry_band,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,eligible_days,raw_signals
2019,STRONG_BULL,STRONG_BULL,,open_m3_p2,24,0.2916666666666667,-1.4913429101503712,-1.6450179937022056,-3.41258498047797,0.3656853862052177,51,29
2019,STRONG_BULL,STRONG_BULL,,open_m3_p1,23,0.30434782608695654,-1.3582828567686034,-1.4844804318488571,-2.9895545672777573,0.5021881902866816,51,29
2019,STRONG_BULL,STRONG_BULL,,open_m3_0,18,0.2777777777777778,-1.428833328745937,-1.6450179937022056,-2.572163016922225,0.05023243537626748,51,29
2019,STRONG_RANGE,STRONG_RANGE,,open_m3_p2,28,0.7142857142857143,1.0458656165000666,0.9130710854848751,-0.24261059870219162,2.1204284267641555,79,38
2019,STRONG_RANGE,STRONG_RANGE,,open_m3_p1,25,0.68,0.7702338227834964,0.45523520485584595,-0.6550218340611408,1.5639374425022994,79,38
2019,STRONG_RANGE,STRONG_RANGE,,open_m3_0,16,0.5625,0.6567632059665175,0.2895371070718955,-0.8417618077597209,1.558022489368211,79,38
2019,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p2,24,0.2916666666666667,-0.7346951196751516,-1.02810068492189,-2.291634980988597,0.7160254586829771,85,30
2019,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p1,21,0.2857142857142857,-0.9695917123751885,-1.1807149885208246,-2.5665399239543687,0.37453183520599787,85,30
2019,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_0,14,0.2857142857142857,-1.0672651043870232,-1.974143955276028,-2.7583481957467892,0.16739149842492712,85,30
2019,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p2,52,0.5192307692307693,-0.1251537034924431,0.09527507502422533,-1.9572903593176174,1.4530218384967057,130,67
2019,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p1,48,0.5,-0.24968041950188466,-0.019214523077684828,-1.9572903593176174,1.3262550728269975,130,67
2019,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_0,34,0.4117647058823529,-0.44737613594007597,-0.6879145691209082,-2.486773103209647,1.1967597190899628,130,67
2019,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,52,0.5192307692307693,0.22406835364996588,0.09527507502422533,-1.2355688895640187,1.827914038148304,164,68
2019,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p1,46,0.5,-0.02403435631068578,0.01775494635529489,-1.2929135652438006,1.5080187273909442,164,68
2019,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_0,30,0.43333333333333335,-0.14778333886513487,-0.554525672989713,-2.1741090146750555,1.335593412313585,164,68
2019,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,76,0.4473684210526316,-0.31764046649750893,-0.361355645967536,-2.2531236926509566,1.4530218384967057,215,97
2019,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p1,69,0.43478260869565216,-0.46878385646332493,-0.4866180048661912,-2.412494770603807,1.3215859030837036,215,97
2019,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_0,48,0.375,-0.6281770850704356,-0.9259478579436888,-2.530523869877481,0.9471073511024812,215,97
2019,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_p2,58,0.5,0.0037545450503461593,0.01775494635529489,-1.447064439570739,1.4244511203745613,132,72
2019,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_p1,53,0.49056603773584906,-0.14204121075186435,-0.03120124804991579,-1.4844804318488571,1.3215859030837036,132,72
2019,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_0,37,0.43243243243243246,-0.28649402797160844,-0.4866180048661912,-2.412494770603807,1.3215859030837036,132,72
2020,STRONG_BULL,STRONG_BULL,,open_m3_p2,27,0.5925925925925926,2.357302625210602,2.1812080536912735,-1.4271842379345077,5.700543946209528,47,59
2020,STRONG_BULL,STRONG_BULL,,open_m3_p1,22,0.5909090909090909,1.8955319631141512,2.057073454853523,-1.441475657601067,4.24163012404062,47,59
