hypo,factor,target,horizon,mode,ic,qmono,n
H1_rate_recession,recession_2026,000001.SH,20,diff,-0.14016889233776944,-0.39999999999999997,157
H1_rate_recession,recession_2026,QQQ,5,level,0.03776275699254081,0.39999999999999997,183
H1_rate_recession,recession_2026,QQQ,5,diff,-0.134246399150542,-0.3,179
H1_rate_recession,recession_2026,QQQ,10,level,0.15556324748618888,0.39999999999999997,178
H1_rate_recession,recession_2026,QQQ,10,diff,-0.2015510726835435,-0.3,174
H1_rate_recession,recession_2026,QQQ,20,level,0.41228720470939584,0.39999999999999997,168
H1_rate_recession,recession_2026,QQQ,20,diff,-0.12535001477459778,-0.3,164
H1_rate_recession,recession_2026,SPY,5,level,0.24702536806499548,0.8999999999999998,172
H1_rate_recession,recession_2026,SPY,5,diff,-0.13819260853629073,-0.3,171
H1_rate_recession,recession_2026,SPY,10,level,0.41554703472507115,0.8999999999999998,167
H1_rate_recession,recession_2026,SPY,10,diff,-0.13090226156766072,-0.39999999999999997,166
H1_rate_recession,recession_2026,SPY,20,level,0.49117828370165556,0.8999999999999998,157
H1_rate_recession,recession_2026,SPY,20,diff,-0.11424889985100599,-0.3,156
H2_geo_gold,taiwan_risk_2026,518880,5,level,0.31993845067314686,0.6,220
H2_geo_gold,taiwan_risk_2026,518880,5,diff,-0.0915719394808059,-0.49999999999999994,217
H2_geo_gold,taiwan_risk_2026,518880,10,level,0.4928181565329078,0.7,215
H2_geo_gold,taiwan_risk_2026,518880,10,diff,-0.09037642742875848,-0.49999999999999994,212
H2_geo_gold,taiwan_risk_2026,518880,20,level,0.6172460001759605,0.8999999999999998,205
H2_geo_gold,taiwan_risk_2026,518880,20,diff,-0.035077263939043764,-0.09999999999999999,202
H2_geo_gold,taiwan_risk_2026,000300.SH,5,level,0.10285554225826483,0.09999999999999999,220
H2_geo_gold,taiwan_risk_2026,000300.SH,5,diff,-0.12398984217341276,-0.7,217
H2_geo_gold,taiwan_risk_2026,000300.SH,10,level,0.12852283924862992,0.3,215
H2_geo_gold,taiwan_risk_2026,000300.SH,10,diff,-0.16469380091340877,-0.19999999999999998,212
H2_geo_gold,taiwan_risk_2026,000300.SH,20,level,0.23544844447412672,0.09999999999999999,205
H2_geo_gold,taiwan_risk_2026,000300.SH,20,diff,-0.20080881930073896,-0.19999999999999998,202
H2_geo_gold,iran_regime_fall,518880,5,level,0.14857126521536027,0.8999999999999998,153
H2_geo_gold,iran_regime_fall,518880,5,diff,0.10414546360276612,0.39999999999999997,150
H2_geo_gold,iran_regime_fall,518880,10,level,0.07060756919826074,0.8999999999999998,148
H2_geo_gold,iran_regime_fall,518880,10,diff,0.1858423609057676,0.6,145
H2_geo_gold,iran_regime_fall,518880,20,level,-0.15802086424200254,-0.39999999999999997,138
H2_geo_gold,iran_regime_fall,518880,20,diff,0.1675150505972186,0.8999999999999998,135
H2_geo_gold,iran_regime_fall,000300.SH,5,level,-0.14042435511618515,-0.49999999999999994,153
H2_geo_gold,iran_regime_fall,000300.SH,5,diff,-0.08058288387258401,-0.6,150
H2_geo_gold,iran_regime_fall,000300.SH,10,level,-0.26319691280107455,-0.7,148
H2_geo_gold,iran_regime_fall,000300.SH,10,diff,-0.2236671134211285,-0.7,145
H2_geo_gold,iran_regime_fall,000300.SH,20,level,-0.2400177172036133,-0.3,138
H2_geo_gold,iran_regime_fall,000300.SH,20,diff,-0.34229596126040823,-0.7,135
H2_geo_gold,hormuz_normal_2026,518880,5,level,0.1698281592157858,0.0,42
H2_geo_gold,hormuz_normal_2026,518880,5,diff,0.040797733170714987,0.3,39
H2_geo_gold,hormuz_normal_2026,518880,10,level,0.3225998206007583,0.3,37
H2_geo_gold,hormuz_normal_2026,518880,10,diff,-0.33055705002391134,-0.09999999999999999,34
H2_geo_gold,hormuz_normal_2026,518880,20,level,0.47739776775494686,0.7,27
H2_geo_gold,hormuz_normal_2026,518880,20,diff,0.02479878709495703,-0.19999999999999998,24
H2_geo_gold,hormuz_normal_2026,000300.SH,5,level,0.030317771621338373,-0.3,42
H2_geo_gold,hormuz_normal_2026,000300.SH,5,diff,0.1368698145082051,0.6,39
H2_geo_gold,hormuz_normal_2026,000300.SH,10,level,-0.27705631651594537,-0.39999999999999997,37
H2_geo_gold,hormuz_normal_2026,000300.SH,10,diff,-0.4120119310515326,-0.6,34
H2_geo_gold,hormuz_normal_2026,000300.SH,20,level,0.27428227475620104,0.19999999999999998,27
H2_geo_gold,hormuz_normal_2026,000300.SH,20,diff,0.048727441309389254,0.49999999999999994,24
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,5,level,-0.03143964390175389,0.0,88
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,5,diff,-0.11490305625952997,-0.39999999999999997,84
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,10,level,0.06178075586044719,0.0,83
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,10,diff,0.09763340545856963,0.6,79
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,20,level,0.10500306602973929,0.3,73
H3_crypto_growth,btc_dip_50k_2026,399006.SZ,20,diff,-0.03489406916756774,-0.09999999999999999,69
H3_crypto_growth,btc_dip_50k_2026,000688.SH,5,level,-0.18239402950240502,-0.39999999999999997,88
H3_crypto_growth,btc_dip_50k_2026,000688.SH,5,diff,-0.2183969387951437,-0.7,84
H3_crypto_growth,btc_dip_50k_2026,000688.SH,10,level,-0.12130175287264734,0.0,83
H3_crypto_growth,btc_dip_50k_2026,000688.SH,10,diff,-0.1719040527232315,-0.6,79
H3_crypto_growth,btc_dip_50k_2026,000688.SH,20,level,-0.15540330166673302,-0.39999999999999997,73
H3_crypto_growth,btc_dip_50k_2026,000688.SH,20,diff,-0.20703814372756854,-0.3,69
H3_crypto_growth,btc_dip_50k_2026,QQQ,5,level,-0.05594946739790546,-0.9999999999999999,94
H3_crypto_growth,btc_dip_50k_2026,QQQ,5,diff,0.07304021789251738,0.19999999999999998,90
H3_crypto_growth,btc_dip_50k_2026,QQQ,10,level,-0.10076292620303588,-0.3,89
H3_crypto_growth,btc_dip_50k_2026,QQQ,10,diff,-0.20728365768592574,-0.6,85
H3_crypto_growth,btc_dip_50k_2026,QQQ,20,level,-0.005935627894767902,-0.09999999999999999,79
H3_crypto_growth,btc_dip_50k_2026,QQQ,20,diff,-0.2653517565695306,-0.7,75
H3_crypto_growth,eth_dip_500_2026,399006.SZ,5,level,-0.065446289300592,0.09999999999999999,11
H3_crypto_growth,eth_dip_500_2026,399006.SZ,5,diff,,-0.19999999999999998,7
H3_crypto_growth,eth_dip_500_2026,399006.SZ,10,level,,,6
H3_crypto_growth,eth_dip_500_2026,399006.SZ,10,diff,,,2
H3_crypto_growth,eth_dip_500_2026,399006.SZ,20,level,,,0
H3_crypto_growth,eth_dip_500_2026,399006.SZ,20,diff,,,0
H3_crypto_growth,eth_dip_500_2026,000688.SH,5,level,-0.03739787960033829,-0.19999999999999998,11
H3_crypto_growth,eth_dip_500_2026,000688.SH,5,diff,,-0.19999999999999998,7
H3_crypto_growth,eth_dip_500_2026,000688.SH,10,level,,,6
H3_crypto_growth,eth_dip_500_2026,000688.SH,10,diff,,,2
H3_crypto_growth,eth_dip_500_2026,000688.SH,20,level,,,0
H3_crypto_growth,eth_dip_500_2026,000688.SH,20,diff,,,0
H3_crypto_growth,eth_dip_500_2026,QQQ,5,level,0.37762745602468045,0.49999999999999994,10
H3_crypto_growth,eth_dip_500_2026,QQQ,5,diff,,0.19999999999999998,6
H3_crypto_growth,eth_dip_500_2026,QQQ,10,level,,,5
H3_crypto_growth,eth_dip_500_2026,QQQ,10,diff,,,1
H3_crypto_growth,eth_dip_500_2026,QQQ,20,level,,,0
H3_crypto_growth,eth_dip_500_2026,QQQ,20,diff,,,0
